Sheet,Period,y,x,S
104-periods (2),49,0.0,0.0,1563.0
104-periods (2),50,-0.0,0.0,1253.0
104-periods (2),51,0.0,0.0,1055.0
104-periods (2),52,0.0,0.0,341.0
104-periods (2),53,0.0,0.0,0.0
104-periods (2),54,1.0,2607.0,1852.0
104-periods (2),55,0.0,0.0,1322.0
104-periods (2),56,0.0,0.0,904.0
104-periods (2),57,-0.0,0.0,904.0
104-periods (2),58,0.0,0.0,817.0
104-periods (2),59,0.0,0.0,287.0
104-periods (2),60,0.0,0.0,0.0
104-periods (2),61,0.0,0.0,0.0
104-periods (2),62,1.0,2396.0,1491.0
104-periods (2),63,0.0,0.0,1422.0
104-periods (2),64,0.0,0.0,1422.0
104-periods (2),65,0.0,0.0,1107.0
104-periods (2),66,0.0,0.0,199.0
104-periods (2),67,0.0,0.0,199.0
104-periods (2),68,0.0,0.0,0.0
104-periods (2),69,1.0,1343.0,884.0
104-periods (2),70,0.0,0.0,207.0
104-periods (2),71,0.0,0.0,0.0
104-periods (2),72,1.0,3335.0,2597.0
104-periods (2),73,0.0,0.0,2113.0
104-periods (2),74,0.0,0.0,1245.0
104-periods (2),75,0.0,0.0,865.0
104-periods (2),76,0.0,0.0,506.0
104-periods (2),77,0.0,0.0,186.0
104-periods (2),78,0.0,0.0,0.0
104-periods (2),79,1.0,1616.0,714.0
104-periods (2),80,0.0,0.0,336.0
104-periods (2),81,0.0,0.0,0.0
104-periods (2),82,1.0,1369.0,619.0
104-periods (2),83,0.0,0.0,0.0
104-periods (2),84,1.0,2899.0,2128.0
104-periods (2),85,0.0,0.0,1798.0
104-periods (2),86,-0.0,0.0,948.0
104-periods (2),87,0.0,0.0,0.0
104-periods (2),88,1.0,3136.0,2357.0
104-periods (2),89,0.0,0.0,1621.0
104-periods (2),90,0.0,0.0,684.0
104-periods (2),91,-0.0,0.0,539.0
104-periods (2),92,0.0,0.0,344.0
104-periods (2),93,0.0,0.0,0.0
104-periods (2),94,1.0,2563.0,1663.0
104-periods (2),95,-0.0,0.0,1303.0
104-periods (2),96,0.0,0.0,931.0
104-periods (2),97,0.0,0.0,0.0
104-periods (2),98,1.0,2514.0,2397.0
104-periods (2),99,0.0,0.0,1947.0
104-periods (2),100,0.0,0.0,1947.0
104-periods (2),101,0.0,0.0,1947.0
104-periods (2),102,0.0,0.0,1571.0
104-periods (2),103,0.0,0.0,918.0
104-periods (2),104,0.0,0.0,0.0
